layer,head,method,k,n_bits_per_dim,bits_per_vector,budget,eff_rank_90,K_mse_logits,K_mae_logits,K_kl_divergence,K_l1_attention,K_top1_agreement
0,0,full_dim,128,2,256,2bit_budget,14,3.25453211296139e-05,0.00417157087182791,1.625004896916042e-05,0.004170876899611463,0.3515625
0,0,subspace_k64_fixed,64,4,256,2bit_budget,14,3.962683470529735e-06,0.0014752416131499264,1.9791199054502945e-06,0.0014738623965439178,0.67578125
0,0,subspace_adaptive,14,18,252,2bit_budget,14,1.3419292307368699e-05,0.0026854572172722935,6.6802760148351e-06,0.002677025572273526,0.50390625
0,0,full_dim,128,4,512,4bit_budget,14,1.3722594348701502e-06,0.0008632772125751687,6.850186114721153e-07,0.0008630068618289582,0.703125
0,0,subspace_k64_fixed,64,8,512,4bit_budget,14,3.131188930114573e-06,0.0012961106892919278,1.5642844038794219e-06,0.0012952907096489793,0.69140625
0,0,subspace_adaptive,14,37,518,4bit_budget,14,0.0007385899273472803,0.021586776659274644,3.2807970514452656e-05,0.00573738241351847,0.0
0,1,full_dim,128,2,256,2bit_budget,8,2.2905963032002415e-05,0.003592603260342599,1.1417844519719341e-05,0.003586234473166492,0.34765625
0,1,subspace_k64_fixed,64,4,256,2bit_budget,8,1.678963957283334e-06,0.0009768833905109456,8.30852118664782e-07,0.0009718529883838967,0.703125
0,1,subspace_adaptive,8,32,256,2bit_budget,8,0.001023772331040306,0.023045661487165407,0.00014359444526107696,0.012736015361710533,0.0
0,1,full_dim,128,4,512,4bit_budget,8,9.034862118020761e-07,0.0007117212120141284,4.495246456713264e-07,0.000711099305813867,0.80859375
0,1,subspace_k64_fixed,64,8,512,4bit_budget,8,1.0157355296007163e-06,0.0007590224888705044,5.037366167400584e-07,0.0007549431300023521,0.73046875
0,1,subspace_adaptive,8,64,512,4bit_budget,8,0.0016115216061593123,0.0307073827686984,4.239596960860387e-05,0.006618259661879665,0.0
0,2,full_dim,128,2,256,2bit_budget,7,2.670322452887008e-05,0.003771207715925655,1.3334760342477115e-05,0.003768841456279318,0.2265625
0,2,subspace_k64_fixed,64,4,256,2bit_budget,7,2.6164494114562143e-06,0.0011718163081048149,1.3051997731676278e-06,0.0011712000802987118,0.62109375
0,2,subspace_adaptive,7,37,259,2bit_budget,7,0.0008011117007538987,0.021918756899237633,3.6989448762432143e-05,0.006143314700325102,0.01953125
0,2,full_dim,128,4,512,4bit_budget,7,1.064117523736825e-06,0.0007425764172158866,5.303267014940021e-07,0.0007404847504174514,0.74609375
