layer,head,method,k,n_bits,bits_per_vector,eff_rank_K_90,K_mse_logits,K_mae_logits,K_kl_divergence,K_l1_attention,K_top1_agreement
0,0,full_dim,128,2,256,14.0,3.25453211296139e-05,0.00417157087182791,1.625004896916042e-05,0.004170876899611463,0.3515625
0,0,subspace_k16,16,16,256,14.0,1.1169334779037853e-05,0.0024534587906591644,5.5444923273288045e-06,0.002440136717854848,0.53125
0,0,subspace_k32,32,8,256,14.0,6.5627428012985635e-06,0.0018778235192503058,3.2563728294941534e-06,0.0018692349813807837,0.58203125
0,0,subspace_k48,48,5,240,14.0,4.477581917151605e-06,0.0015611156624962825,2.1952423564111816e-06,0.0015504909288701465,0.64453125
0,0,subspace_k64,64,4,256,14.0,3.962683470529735e-06,0.0014752416131499264,1.9791199054502945e-06,0.0014738623965439178,0.67578125
0,0,full_dim,128,4,512,14.0,1.3722594348701502e-06,0.0008632772125751687,6.850186114721153e-07,0.0008630068618289582,0.703125
0,0,subspace_k16,16,32,512,14.0,0.0009746103498774262,0.02319432321698476,0.00013296047475109323,0.012096637556122662,0.0
0,0,subspace_k32,32,16,512,14.0,6.551166307588286e-06,0.0018766803840867836,3.249948462758231e-06,0.0018676236133987926,0.578125
0,0,subspace_k48,48,11,528,14.0,4.227302507328322e-06,0.0015267386285513843,2.08354679917836e-06,0.0015199336942495313,0.6796875
0,0,subspace_k64,64,8,512,14.0,3.131188930114573e-06,0.0012961106892919278,1.5642844038794219e-06,0.0012952907096489793,0.69140625
0,0,full_dim,128,8,1024,14.0,4.418557828504326e-09,4.8896887291529185e-05,2.2036455414160736e-09,4.8860454938534655e-05,0.98828125
0,0,subspace_k16,16,64,1024,14.0,0.0022414414613606544,0.037776603358444974,3.2807098056735975e-05,0.0057373417218320975,0.0078125
0,0,subspace_k32,32,32,1024,14.0,0.0005192149686012332,0.017434059298563728,9.15346240420196e-05,0.010239374072384098,0.0
0,0,subspace_k48,48,21,1008,14.0,4.229152592072333e-06,0.001527172899504582,2.0844119277455165e-06,0.0015203291035570218,0.6796875
0,0,subspace_k64,64,16,1024,14.0,3.1410953142308606e-06,0.0012978548665555354,1.5692194002051808e-06,0.0012969991748734387,0.6953125
0,1,full_dim,128,2,256,8.0,2.2905963032002415e-05,0.003592603260342599,1.1417844519719341e-05,0.003586234473166492,0.34765625
0,1,subspace_k16,16,16,256,8.0,4.8319514870947774e-06,0.0016493904429177376,2.397058073502271e-06,0.0016431628975652124,0.51171875
0,1,subspace_k32,32,8,256,8.0,2.5132997110890143e-06,0.0011954451494076996,1.2520298773933082e-06,0.0011930257325387353,0.63671875
0,1,subspace_k48,48,5,240,8.0,1.6220589087435002e-06,0.000970820085696434,8.040815448670841e-07,0.0009654720204528944,0.6875
0,1,subspace_k64,64,4,256,8.0,1.678963957283334e-06,0.0009768833905109456,8.30852118664782e-07,0.0009718529883838967,0.703125
0,1,full_dim,128,4,512,8.0,9.034862118020761e-07,0.0007117212120141284,4.495246456713264e-07,0.000711099305813867,0.80859375
0,1,subspace_k16,16,32,512,8.0,0.0003999707253812484,0.015142436881715488,0.00013211185556631915,0.012199667886129,0.0
0,1,subspace_k32,32,16,512,8.0,2.507822065927031e-06,0.0011944731505978666,1.2492004369994999e-06,0.0011919581054716816,0.6328125
0,1,subspace_k48,48,11,528,8.0,1.431103445651719e-06,0.0009078247586543933,7.086136907316316e-07,0.0009027572687520897,0.6640625
0,1,subspace_k64,64,8,512,8.0,1.0157355296007163e-06,0.0007590224888705044,5.037366167400584e-07,0.0007549431300023521,0.73046875
0,1,full_dim,128,8,1024,8.0,3.210335966337883e-09,4.2774095147434745e-05,1.6000172276722723e-09,4.2709631777542446e-05,0.97265625
0,1,subspace_k16,16,64,1024,8.0,0.00034146982620712133,0.014404620864449963,4.239596960860387e-05,0.006618259661879665,0.0
0,1,subspace_k32,32,32,1024,8.0,0.0005413788983350718,0.017492398356222454,0.00013382112292218567,0.012248835882435968,0.00390625
0,1,subspace_k48,48,21,1008,8.0,1.4312267265049897e-06,0.0009078240441946315,7.086720968634208e-07,0.0009027428247858191,0.6640625
0,1,subspace_k64,64,16,1024,8.0,1.0138551947104464e-06,0.0007578927730028907,5.028991915980817e-07,0.0007537807051051122,0.7265625
0,2,full_dim,128,2,256,7.0,2.670322452887008e-05,0.003771207715925655,1.3334760342477115e-05,0.003768841456279318,0.2265625
0,2,subspace_k16,16,16,256,7.0,6.475853464542445e-06,0.0018736945273087943,3.220278773850928e-06,0.0018670865298256283,0.3984375
0,2,subspace_k32,32,8,256,7.0,3.6501281999350133e-06,0.0013891642322419939,1.823539024484366e-06,0.0013879939916637586,0.5546875
0,2,subspace_k48,48,5,240,7.0,2.3377271101244935e-06,0.0011140008545012729,1.1679834986528546e-06,0.0011136637092472195,0.6171875
0,2,subspace_k64,64,4,256,7.0,2.6164494114562143e-06,0.0011718163081048149,1.3051997731676278e-06,0.0011712000802987118,0.62109375
0,2,full_dim,128,4,512,7.0,1.064117523736825e-06,0.0007425764172158866,5.303267014940021e-07,0.0007404847504174514,0.74609375
0,2,subspace_k16,16,32,512,7.0,0.0003145092245159253,0.0134292128212736,0.00012008318949570405,0.011822163358614399,0.0
0,2,subspace_k32,32,16,512,7.0,3.6425716803061595e-06,0.0013878504373368706,1.8198030294809756e-06,0.001386682964582684,0.5546875
0,2,subspace_k48,48,11,528,7.0,2.164316553964617e-06,0.0010767477696331405,1.0811649828771273e-06,0.0010760579848770567,0.62109375
