layer_idx,ppl,ppl_delta,baseline_ppl
0,10.7294,0.0333,10.696
1,10.7327,0.0366,10.696
2,10.6758,-0.0202,10.696
3,10.696,0.0,10.696
4,10.7379,0.0419,10.696
5,10.6889,-0.0072,10.696
6,10.7733,0.0773,10.696
7,10.7477,0.0517,10.696
8,10.7543,0.0583,10.696
9,10.7845,0.0885,10.696
10,10.732,0.036,10.696
11,10.7222,0.0261,10.696
12,10.8685,0.1724,10.696
13,10.7471,0.051,10.696
14,10.8459,0.1499,10.696
15,10.7753,0.0793,10.696
16,10.772,0.076,10.696
17,10.8201,0.1241,10.696
18,10.8552,0.1592,10.696
19,10.7255,0.0294,10.696
20,10.6615,-0.0345,10.696
21,10.7196,0.0235,10.696
22,10.7517,0.0556,10.696
23,10.7124,0.0163,10.696
24,10.7938,0.0977,10.696
25,10.6608,-0.0352,10.696
26,10.7858,0.0898,10.696
27,10.5818,-0.1143,10.696
28,10.755,0.0589,10.696
29,10.6941,-0.002,10.696
30,10.7911,0.0951,10.696
31,10.7628,0.0668,10.696
32,11.2285,0.5325,10.696
33,10.7628,0.0668,10.696
34,10.9283,0.2323,10.696
35,11.0788,0.3827,10.696
36,11.095,0.399,10.696
37,12.6215,1.9254,10.696
38,10.6947,-0.0013,10.696
39,11.0019,0.3059,10.696
