calib_domain,eval_domain,config,ppl
fiction,fiction,baseline,10.5302
fiction,fiction,k128_4bit,10.9631
fiction,fiction,k96_4bit,18.4315
fiction,code,baseline,1.1709
fiction,code,k128_4bit,1.1913
fiction,code,k96_4bit,1.4476
fiction,news,baseline,1.5904
fiction,news,k128_4bit,1.6205
fiction,news,k96_4bit,1.8424
fiction,dialogue,baseline,2.0578
fiction,dialogue,k128_4bit,2.0843
fiction,dialogue,k96_4bit,2.5183
code,fiction,baseline,1.2318
code,fiction,k128_4bit,1.2346
code,fiction,k96_4bit,1.7504
code,code,baseline,1.1709
code,code,k128_4bit,1.2059
code,code,k96_4bit,1.6237
code,news,baseline,1.5904
code,news,k128_4bit,1.6094
code,news,k96_4bit,2.6974
code,dialogue,baseline,2.0578
code,dialogue,k128_4bit,2.077
code,dialogue,k96_4bit,3.4398
news,fiction,baseline,1.2318
news,fiction,k128_4bit,1.2759
news,fiction,k96_4bit,1.5818
news,code,baseline,1.1709
news,code,k128_4bit,1.1987
news,code,k96_4bit,1.9263
news,news,baseline,1.5904
news,news,k128_4bit,1.6117
news,news,k96_4bit,1.8723
news,dialogue,baseline,2.0578
news,dialogue,k128_4bit,2.0788
news,dialogue,k96_4bit,3.1323
dialogue,fiction,baseline,1.2318
dialogue,fiction,k128_4bit,1.2533
dialogue,fiction,k96_4bit,1.642
dialogue,code,baseline,1.1709
dialogue,code,k128_4bit,1.2344
dialogue,code,k96_4bit,1.9259
dialogue,news,baseline,1.5904
dialogue,news,k128_4bit,1.6005
dialogue,news,k96_4bit,2.1559
dialogue,dialogue,baseline,2.0578
dialogue,dialogue,k128_4bit,2.115
dialogue,dialogue,k96_4bit,2.563
universal,fiction,baseline,1.2318
universal,fiction,k128_4bit,1.2654
universal,fiction,k96_4bit,1.3741
universal,code,baseline,1.1709
universal,code,k128_4bit,1.1913
universal,code,k96_4bit,1.4476
universal,news,baseline,1.5904
universal,news,k128_4bit,1.6205
universal,news,k96_4bit,1.8424
universal,dialogue,baseline,2.0578
universal,dialogue,k128_4bit,2.0843
universal,dialogue,k96_4bit,2.5183
