calib_domain,eval_domain,config,ppl
fiction,fiction,baseline,13.2498
fiction,fiction,k128_4bit,13.6938
fiction,fiction,k96_4bit,22.1244
fiction,code,baseline,1.2831
fiction,code,k128_4bit,1.3174
fiction,code,k96_4bit,1.7798
fiction,news,baseline,2.5318
fiction,news,k128_4bit,2.5057
fiction,news,k96_4bit,3.5192
fiction,dialogue,baseline,2.8595
fiction,dialogue,k128_4bit,2.9717
fiction,dialogue,k96_4bit,3.7622
code,fiction,baseline,13.2498
code,fiction,k128_4bit,13.3407
code,fiction,k96_4bit,102.9032
code,code,baseline,1.2831
code,code,k128_4bit,1.3325
code,code,k96_4bit,2.1005
code,news,baseline,2.5318
code,news,k128_4bit,2.5646
code,news,k96_4bit,5.9105
code,dialogue,baseline,2.8595
code,dialogue,k128_4bit,2.9102
code,dialogue,k96_4bit,6.1032
news,fiction,baseline,13.2498
news,fiction,k128_4bit,13.5806
news,fiction,k96_4bit,32.2852
news,code,baseline,1.2831
news,code,k128_4bit,1.3053
news,code,k96_4bit,2.4893
news,news,baseline,2.5318
news,news,k128_4bit,2.6094
news,news,k96_4bit,3.419
news,dialogue,baseline,2.8595
news,dialogue,k128_4bit,2.9325
news,dialogue,k96_4bit,5.2881
dialogue,fiction,baseline,13.2498
dialogue,fiction,k128_4bit,13.6704
dialogue,fiction,k96_4bit,38.5179
dialogue,code,baseline,1.2831
dialogue,code,k128_4bit,1.3296
dialogue,code,k96_4bit,2.5853
dialogue,news,baseline,2.5318
dialogue,news,k128_4bit,2.6072
dialogue,news,k96_4bit,4.0145
dialogue,dialogue,baseline,2.8595
dialogue,dialogue,k128_4bit,2.897
dialogue,dialogue,k96_4bit,4.2284
universal,fiction,baseline,13.2498
universal,fiction,k128_4bit,13.6938
universal,fiction,k96_4bit,22.1244
universal,code,baseline,1.2831
universal,code,k128_4bit,1.3174
universal,code,k96_4bit,1.7798
universal,news,baseline,2.5318
universal,news,k128_4bit,2.5057
universal,news,k96_4bit,3.5192
universal,dialogue,baseline,2.8595
universal,dialogue,k128_4bit,2.9717
universal,dialogue,k96_4bit,3.7622
