strategy,update_interval,label,baseline_ppl,k_only_ppl,k_only_rel,ppl,rel_ppl,ppl_gap_vs_k_only,n_basis_updates,mean_v_basis_overlap
window,0,window_static,8.133649930257766,9.101183592968773,1.118954426488373,11.581906351339441,1.4239494508183728,2.4807227583706677,0,1.0
ema,0,ema_static,8.133649930257766,9.101183592968773,1.118954426488373,11.581906351339441,1.4239494508183728,2.4807227583706677,0,1.0
window,256,window_interval=256,8.133649930257766,9.101183592968773,1.118954426488373,11.581906351339441,1.4239494508183728,2.4807227583706677,1,0.9977849571034312
ema,256,ema_interval=256,8.133649930257766,9.101183592968773,1.118954426488373,11.581906351339441,1.4239494508183728,2.4807227583706677,1,1.0
window,512,window_interval=512,8.133649930257766,9.101183592968773,1.118954426488373,11.581906351339441,1.4239494508183728,2.4807227583706677,1,0.9977849571034312
ema,512,ema_interval=512,8.133649930257766,9.101183592968773,1.118954426488373,11.581906351339441,1.4239494508183728,2.4807227583706677,1,1.0
window,1024,window_interval=1024,8.133649930257766,9.101183592968773,1.118954426488373,11.581906351339441,1.4239494508183728,2.4807227583706677,1,0.9977849571034312
ema,1024,ema_interval=1024,8.133649930257766,9.101183592968773,1.118954426488373,11.581906351339441,1.4239494508183728,2.4807227583706677,1,1.0
window,2048,window_interval=2048,8.133649930257766,9.101183592968773,1.118954426488373,11.581906351339441,1.4239494508183728,2.4807227583706677,1,0.9977849571034312
ema,2048,ema_interval=2048,8.133649930257766,9.101183592968773,1.118954426488373,11.581906351339441,1.4239494508183728,2.4807227583706677,1,1.0
