experiment,k_K,k_V,bits_K,bits_V,eval_ctx,ppl,rel_ppl,gap_vs_k_only,compression_ratio,viable,baseline_ppl,k_only_ppl
v_k_scan,112,64,4,4,4096,35.75647392566098,5.612277435976491,4.483172493275076,5.818181818181818,False,6.37111659813012,7.1936592414757445
v_k_scan,112,80,4,4,4096,17.91342963763515,2.811662502439937,1.6825575597385216,5.333333333333333,False,6.37111659813012,7.1936592414757445
v_k_scan,112,96,4,4,4096,10.746788763052356,1.6867983182424358,0.5576933755410205,4.923076923076923,False,6.37111659813012,7.1936592414757445
v_k_scan,112,104,4,4,4096,10.113915618821096,1.5874635886885922,0.4583586459871769,4.7407407407407405,False,6.37111659813012,7.1936592414757445
v_k_scan,112,108,4,4,4096,10.060968025347398,1.5791530213558207,0.45004807865440544,4.654545454545454,False,6.37111659813012,7.1936592414757445
v_k_scan,112,112,4,4,4096,9.543090674656797,1.4978678427353895,0.3687629000339743,4.571428571428571,False,6.37111659813012,7.1936592414757445
v_k_scan,112,116,4,4,4096,8.839080744725038,1.3873676001031356,0.2582626574017204,4.491228070175438,False,6.37111659813012,7.1936592414757445
v_k_scan,112,120,4,4,4096,8.734169192795388,1.3709008551748696,0.24179591247345433,4.413793103448276,False,6.37111659813012,7.1936592414757445
v_k_scan,112,124,4,4,4096,8.67778880811749,1.3620514825712597,0.23294653986984448,4.338983050847458,False,6.37111659813012,7.1936592414757445
v_k_scan,112,128,4,4,4096,7.398129526853449,1.1611982629582938,0.0320933202568785,4.266666666666667,True,6.37111659813012,7.1936592414757445
bits_tradeoff_8bit,112,112,4,8,4096,8.895019811538678,1.3961477041794064,0.2670427614779911,3.0476190476190474,False,6.37111659813012,7.1936592414757445
v_k_scan_long_ctx,112,128,4,4,8192,9.168038721524548,1.1736838914438368,0.055620795780097154,4.266666666666667,False,7.811335563484861,8.733566021378145
