k,bits,method,group_size,eff_bpe,compression_ratio,ppl,rel_ppl
112,4,subrotq,1,68.0,0.2689,1.1712,1.001
112,4,subrotq,8,12.0,1.5238,1.1682,0.9984
112,4,subrotq,16,8.0,2.2857,1.1674,0.9978
112,4,subrotq,64,5.0,3.6571,1.1756,1.0047
112,4,subrotq,128,4.5,4.0635,1.171,1.0008
112,4,subrotq,512,4.125,4.4329,1.1749,1.0041
112,4,subrotq,2048,4.0312,4.536,1.1735,1.0029
112,8,subrotq,1,72.0,0.254,1.1712,1.001
112,8,subrotq,8,16.0,1.1429,1.1712,1.001
112,8,subrotq,16,12.0,1.5238,1.1716,1.0013
112,8,subrotq,64,9.0,2.0317,1.1713,1.0011
112,8,subrotq,128,8.5,2.1513,1.1716,1.0013
112,8,subrotq,512,8.125,2.2505,1.171,1.0008
112,8,subrotq,2048,8.0312,2.2768,1.1712,1.001
128,4,subrotq,1,68.0,0.2353,1.1699,0.9999
128,4,subrotq,8,12.0,1.3333,1.1702,1.0001
128,4,subrotq,16,8.0,2.0,1.1691,0.9991
128,4,subrotq,64,5.0,3.2,1.173,1.0025
128,4,subrotq,128,4.5,3.5556,1.1672,0.9976
128,4,subrotq,512,4.125,3.8788,1.1712,1.001
128,4,subrotq,2048,4.0312,3.969,1.1732,1.0027
128,8,subrotq,1,72.0,0.2222,1.1699,0.9999
128,8,subrotq,8,16.0,1.0,1.1699,0.9998
128,8,subrotq,16,12.0,1.3333,1.1701,1.0001
128,8,subrotq,64,9.0,1.7778,1.1701,1.0
128,8,subrotq,128,8.5,1.8824,1.1698,0.9998
128,8,subrotq,512,8.125,1.9692,1.1698,0.9998
128,8,subrotq,2048,8.0312,1.9922,1.1697,0.9997
112,4,polarquant,1,4.25,4.3025,1.2351,1.0556
112,8,polarquant,1,8.2143,2.2261,1.1713,1.0011
128,4,polarquant,1,4.2188,3.7926,1.2654,1.0815
128,8,polarquant,1,8.1875,1.9542,1.1705,1.0004
