k,bits,ppl,rel_ppl,compression_type,cr
128,16,6.0784,1.0,baseline,1.0
64,4,16.4057,2.699,K_only,8.0
64,8,16.5666,2.7255,K_only,4.0
64,16,16.5343,2.7202,K_only,2.0
96,4,7.148,1.176,K_only,5.333
96,8,7.0304,1.1566,K_only,2.667
96,16,7.0321,1.1569,K_only,1.333
112,4,6.3856,1.0506,K_only,4.571
112,8,6.2927,1.0353,K_only,2.286
112,16,6.2897,1.0348,K_only,1.143
128,4,6.126,1.0078,K_only,4.0
128,8,6.0769,0.9998,K_only,2.0
128,16,6.0813,1.0005,K_only,1.0
112,4,75.1124,12.3574,V_only,4.571
