ctx_len,config,ppl,rel_ppl
512,baseline,19.4296,1.0
512,k128_4bit,21.3392,1.0983
512,k96_4bit,49.8094,2.5636
1024,baseline,28.436,1.0
1024,k128_4bit,29.7425,1.0459
1024,k96_4bit,61.8678,2.1757
2048,baseline,29.3673,1.0
2048,k128_4bit,29.8007,1.0148
2048,k96_4bit,60.4642,2.0589
4096,baseline,24.3761,1.0
4096,k128_4bit,25.1253,1.0307
4096,k96_4bit,47.4125,1.945
8192,baseline,23.8609,1.0
8192,k128_4bit,24.5823,1.0302
8192,k96_4bit,47.7261,2.0002
16384,baseline,23.4137,1.0
16384,k128_4bit,24.0789,1.0284
16384,k96_4bit,49.121,2.098
32768,baseline,22.6705,1.0
32768,k128_4bit,23.4537,1.0345
32768,k96_4bit,52.8441,2.331
