reference,compare,layer,head,kv_type,overlap,n_principal_angles,mean_cos2
early,mid_early,0,0,K,0.6935223340988159,64,0.6935223340988159
early,mid_early,0,0,V,0.7190201282501221,64,0.7190201282501221
early,mid_early,0,1,K,0.8433204889297485,64,0.8433204889297485
early,mid_early,0,1,V,0.7450273036956787,64,0.7450273036956787
early,mid_early,0,2,K,0.6810736656188965,64,0.6810736656188965
early,mid_early,0,2,V,0.765906572341919,64,0.765906572341919
early,mid_early,0,3,K,0.7704508900642395,64,0.7704508900642395
early,mid_early,0,3,V,0.828711748123169,64,0.828711748123169
early,mid_early,0,4,K,0.8597121834754944,64,0.8597121834754944
early,mid_early,0,4,V,0.7320141792297363,64,0.7320141792297363
early,mid_early,0,5,K,0.7738711833953857,64,0.7738711833953857
early,mid_early,0,5,V,0.7619534730911255,64,0.7619534730911255
early,mid_early,0,6,K,0.7393010854721069,64,0.7393010854721069
early,mid_early,0,6,V,0.7211002707481384,64,0.7211002707481384
early,mid_early,0,7,K,0.6889530420303345,64,0.6889530420303345
early,mid_early,0,7,V,0.6883521676063538,64,0.6883521676063538
early,mid_early,1,0,K,0.857932448387146,64,0.857932448387146
early,mid_early,1,0,V,0.7618404626846313,64,0.7618404626846313
early,mid_early,1,1,K,0.8858535289764404,64,0.8858535289764404
early,mid_early,1,1,V,0.8537811040878296,64,0.8537811040878296
early,mid_early,1,2,K,0.8630700707435608,64,0.8630700707435608
early,mid_early,1,2,V,0.8140641450881958,64,0.8140641450881958
early,mid_early,1,3,K,0.8908979892730713,64,0.8908979892730713
early,mid_early,1,3,V,0.8697982430458069,64,0.8697982430458069
early,mid_early,1,4,K,0.8839131593704224,64,0.8839131593704224
early,mid_early,1,4,V,0.8184927701950073,64,0.8184927701950073
early,mid_early,1,5,K,0.8659662008285522,64,0.8659662008285522
early,mid_early,1,5,V,0.8058698177337646,64,0.8058698177337646
early,mid_early,1,6,K,0.8637333512306213,64,0.8637333512306213
early,mid_early,1,6,V,0.8072984218597412,64,0.8072984218597412
early,mid_early,1,7,K,0.9349430799484253,64,0.9349430799484253
early,mid_early,1,7,V,0.8826456069946289,64,0.8826456069946289
early,mid_early,2,0,K,0.8718852400779724,64,0.8718852400779724
early,mid_early,2,0,V,0.8345228433609009,64,0.8345228433609009
early,mid_early,2,1,K,0.8702973127365112,64,0.8702973127365112
early,mid_early,2,1,V,0.8071621656417847,64,0.8071621656417847
early,mid_early,2,2,K,0.8512594699859619,64,0.8512594699859619
early,mid_early,2,2,V,0.7871313095092773,64,0.7871313095092773
early,mid_early,2,3,K,0.8147268295288086,64,0.8147268295288086
early,mid_early,2,3,V,0.7741820812225342,64,0.7741820812225342
early,mid_early,2,4,K,0.8123738765716553,64,0.8123738765716553
early,mid_early,2,4,V,0.7863393425941467,64,0.7863393425941467
early,mid_early,2,5,K,0.816879153251648,64,0.816879153251648
early,mid_early,2,5,V,0.7735790014266968,64,0.7735790014266968
early,mid_early,2,6,K,0.8342435956001282,64,0.8342435956001282
early,mid_early,2,6,V,0.7917131185531616,64,0.7917131185531616
early,mid_early,2,7,K,0.9009944796562195,64,0.9009944796562195
early,mid_early,2,7,V,0.8050854206085205,64,0.8050854206085205
early,mid_early,3,0,K,0.8900575637817383,64,0.8900575637817383
early,mid_early,3,0,V,0.809033989906311,64,0.809033989906311
early,mid_early,3,1,K,0.7959920763969421,64,0.7959920763969421
early,mid_early,3,1,V,0.7239481210708618,64,0.7239481210708618
early,mid_early,3,2,K,0.8609908819198608,64,0.8609908819198608
early,mid_early,3,2,V,0.8047271370887756,64,0.8047271370887756
early,mid_early,3,3,K,0.8379470109939575,64,0.8379470109939575
early,mid_early,3,3,V,0.7846097946166992,64,0.7846097946166992
early,mid_early,3,4,K,0.859795331954956,64,0.859795331954956
early,mid_early,3,4,V,0.7306729555130005,64,0.7306729555130005
early,mid_early,3,5,K,0.8517208099365234,64,0.8517208099365234
early,mid_early,3,5,V,0.8115652799606323,64,0.8115652799606323
early,mid_early,3,6,K,0.8437148332595825,64,0.8437148332595825
early,mid_early,3,6,V,0.808830976486206,64,0.808830976486206
early,mid_early,3,7,K,0.8853750824928284,64,0.8853750824928284
early,mid_early,3,7,V,0.7914876937866211,64,0.7914876937866211
early,mid_early,4,0,K,0.8303235769271851,64,0.8303235769271851
early,mid_early,4,0,V,0.7761059999465942,64,0.7761059999465942
early,mid_early,4,1,K,0.8452861309051514,64,0.8452861309051514
early,mid_early,4,1,V,0.800471305847168,64,0.800471305847168
early,mid_early,4,2,K,0.8295207023620605,64,0.8295207023620605
early,mid_early,4,2,V,0.8044405579566956,64,0.8044405579566956
early,mid_early,4,3,K,0.8527765274047852,64,0.8527765274047852
early,mid_early,4,3,V,0.7709888815879822,64,0.7709888815879822
early,mid_early,4,4,K,0.8256826400756836,64,0.8256826400756836
early,mid_early,4,4,V,0.7950778007507324,64,0.7950778007507324
early,mid_early,4,5,K,0.8174125552177429,64,0.8174125552177429
early,mid_early,4,5,V,0.7483739256858826,64,0.7483739256858826
early,mid_early,4,6,K,0.8223596811294556,64,0.8223596811294556
early,mid_early,4,6,V,0.6881093978881836,64,0.6881093978881836
early,mid_early,4,7,K,0.7980506420135498,64,0.7980506420135498
early,mid_early,4,7,V,0.7286390066146851,64,0.7286390066146851
