config,position,loss,ppl
baseline,0,7.90234375,2704.0
baseline,1,6.578125,719.0
baseline,2,10.84375,51200.0
baseline,3,6.59765625,733.5
baseline,4,3.3828125,29.453125
baseline,5,2.306640625,10.0390625
baseline,6,0.525390625,1.69140625
baseline,7,2.806640625,16.546875
baseline,8,2.755859375,15.734375
baseline,9,3.505859375,33.3125
baseline,10,8.578125,5316.0
baseline,11,0.217041015625,1.2421875
baseline,12,0.83251953125,2.298828125
baseline,13,2.39453125,10.9609375
baseline,14,0.376708984375,1.45703125
baseline,15,3.109375,22.40625
baseline,16,1.64453125,5.1796875
baseline,17,4.859375,129.0
baseline,18,0.204833984375,1.2275390625
baseline,19,4.26171875,70.9375
baseline,20,4.46484375,86.9375
baseline,21,6.625,753.5
baseline,22,3.845703125,46.78125
baseline,23,3.197265625,24.46875
baseline,24,5.4765625,239.0
baseline,25,0.2039794921875,1.2265625
baseline,26,6.046875,422.75
baseline,27,2.453125,11.625
baseline,28,0.041839599609375,1.04296875
baseline,29,7.41796875,1666.0
baseline,30,1.54296875,4.6796875
baseline,31,6.8203125,916.5
baseline,32,2.642578125,14.046875
baseline,33,0.003704071044921875,1.00390625
baseline,34,3.41015625,30.265625
baseline,35,5.0390625,154.375
baseline,36,8.7890625,6564.0
baseline,37,0.374755859375,1.455078125
baseline,38,3.466796875,32.03125
baseline,39,0.07147216796875,1.07421875
baseline,40,10.265625,28720.0
baseline,41,0.318115234375,1.375
baseline,42,0.0008320808410644531,1.0009765625
baseline,43,7.421875,1672.0
baseline,44,7.4921875,1794.0
baseline,45,5.125,168.125
baseline,46,2.15625,8.640625
baseline,47,0.5859375,1.796875
baseline,48,3.130859375,22.890625
baseline,49,0.00013566017150878906,1.0
baseline,50,0.00021326541900634766,1.0
baseline,51,2.17578125,8.8125
baseline,52,0.7587890625,2.134765625
baseline,53,1.984375,7.2734375
baseline,54,3.982421875,53.65625
baseline,55,4.5,90.0
baseline,56,0.2408447265625,1.2724609375
baseline,57,0.0012788772583007812,1.0009765625
baseline,58,0.08154296875,1.0849609375
baseline,59,0.0006556510925292969,1.0009765625
baseline,60,0.039215087890625,1.0400390625
baseline,61,3.259765625,26.046875
baseline,62,2.27734375,9.75
baseline,63,4.71484375,111.5625
baseline,64,2.203125,9.0546875
baseline,65,0.06768798828125,1.0703125
