ctx_len,config,ppl,n_tokens,relative_ppl
512,baseline,8.875,512,1.0
512,k128_4bit,9.8046875,512,1.1047535211267605
512,k112_4bit,14.8984375,512,1.6786971830985915
512,k96_4bit,20.40625,512,2.2992957746478875
512,k64_4bit,133.0,512,14.985915492957746
1024,baseline,10.0,1024,1.0
1024,k128_4bit,11.09375,1024,1.109375
1024,k112_4bit,14.6953125,1024,1.46953125
1024,k96_4bit,20.96875,1024,2.096875
1024,k64_4bit,107.75,1024,10.775
2048,baseline,10.1171875,2048,1.0
2048,k128_4bit,10.984375,2048,1.0857142857142856
2048,k112_4bit,15.578125,2048,1.5397683397683397
2048,k96_4bit,19.28125,2048,1.9057915057915058
2048,k64_4bit,72.625,2048,7.178378378378379
4096,baseline,10.1015625,4096,1.0
4096,k128_4bit,10.75,4096,1.0641918020108276
4096,k112_4bit,13.9921875,4096,1.3851508120649652
4096,k96_4bit,16.328125,4096,1.6163959783449342
4096,k64_4bit,60.65625,4096,6.004640371229699
8192,baseline,9.6015625,8192,1.0
8192,k128_4bit,10.1015625,8192,1.0520748576078112
8192,k112_4bit,12.9140625,8192,1.3449959316517495
8192,k96_4bit,15.890625,8192,1.6550040683482505
8192,k64_4bit,49.8125,8192,5.1879576891781936
16384,baseline,10.0,16384,1.0
16384,k128_4bit,10.625,16384,1.0625
16384,k112_4bit,14.21875,16384,1.421875
16384,k96_4bit,17.140625,16384,1.7140625
16384,k64_4bit,45.875,16384,4.5875
32768,baseline,9.978170394897461,32768,1.0
32768,k128_4bit,10.617980003356934,32768,1.0641209343134341
32768,k112_4bit,16.501253128051758,32768,1.653735351772506
32768,k96_4bit,18.22735595703125,32768,1.8267232604438361
32768,k64_4bit,43.58127975463867,32768,4.3676624100270764
40960,baseline,10.115559577941895,40960,1.0
40960,k128_4bit,11.048501968383789,40960,1.092228450957501
40960,k112_4bit,16.94099235534668,40960,1.6747459421116357
40960,k96_4bit,18.747390747070312,40960,1.85332216202365
40960,k64_4bit,43.119049072265625,40960,4.262645950530658
