policy,passage_idx,ppl,mean_ppl,rel_ppl,compression_ratio
baseline,0,2.0859375,2.5826822916666665,1.0,1.0
baseline,1,2.93359375,2.5826822916666665,1.0,1.0
baseline,2,2.728515625,2.5826822916666665,1.0,1.0
k96_uniform,0,2.443359375,3.2486979166666665,1.1713483146067416,4.571428571428571
k96_uniform,1,3.916015625,3.2486979166666665,1.3348868175765647,4.571428571428571
k96_uniform,2,3.38671875,3.2486979166666665,1.2412312097351468,4.571428571428571
k112_uniform,0,2.3671875,2.9466145833333335,1.1348314606741574,4.266666666666667
k112_uniform,1,3.419921875,2.9466145833333335,1.1657789613848202,4.266666666666667
k112_uniform,2,3.052734375,2.9466145833333335,1.1188260558339298,4.266666666666667
k112_protect10,0,2.31640625,2.958984375,1.1104868913857677,2.3486238532110093
k112_protect10,1,3.4765625,2.958984375,1.18508655126498,2.3486238532110093
k112_protect10,2,3.083984375,2.958984375,1.1302791696492485,2.3486238532110093
k112_protect20,0,2.26953125,2.8717447916666665,1.0880149812734083,1.620253164556962
k112_protect20,1,3.275390625,2.8717447916666665,1.1165113182423436,1.620253164556962
k112_protect20,2,3.0703125,2.8717447916666665,1.1252684323550466,1.620253164556962
k112_graduated,0,2.341796875,2.9296875,1.1226591760299625,1.9248120300751879
k112_graduated,1,3.36328125,2.9296875,1.1464713715046604,1.9248120300751879
k112_graduated,2,3.083984375,2.9296875,1.1302791696492485,1.9248120300751879
k128_uniform,0,2.208984375,2.72265625,1.0589887640449438,4.0
k128_uniform,1,3.08984375,2.72265625,1.0532623169107855,4.0
k128_uniform,2,2.869140625,2.72265625,1.0515390121689334,4.0
hybrid_128_early_112_late,0,2.28125,2.83203125,1.0936329588014981,4.129032258064516
hybrid_128_early_112_late,1,3.193359375,2.83203125,1.088548601864181,4.129032258064516
hybrid_128_early_112_late,2,3.021484375,2.83203125,1.1073729420186114,4.129032258064516
