method,target_sparsity,actual_sparsity,test_mse_mean,test_mse_std,seed
Mozeika,0.0,0.0,0.3066216575878796,0.0,0
Mozeika,0.0,0.0,0.1496295564036804,0.0,1
Mozeika,0.0,0.0,0.14272937431508861,0.0,2
Mozeika,0.0,0.0,0.21544598201658635,0.0,3
Mozeika,0.0,0.0,0.17828811001537748,0.0,4
Mozeika,0.0,0.0,0.2250084701765408,0.0,5
Mozeika,0.0,0.0,0.2634682649150269,0.0,6
Mozeika,0.0,0.0,0.21608178836425088,0.0,7
Mozeika,0.25,0.2,0.24116423737204584,0.0,0
Mozeika,0.25,0.2985576923076923,0.1701150419434432,0.0,1
Mozeika,0.25,0.1596153846153846,0.13169289094141112,0.0,2
Mozeika,0.25,0.20384615384615384,0.19503795143898653,0.0,3
Mozeika,0.25,0.08557692307692308,0.1451996011403397,0.0,4
Mozeika,0.25,0.13413461538461538,0.20893806820317992,0.0,5
Mozeika,0.25,0.08653846153846154,0.24595227068310738,0.0,6
Mozeika,0.25,0.04423076923076923,0.19862913302004243,0.0,7
Mozeika,0.5,0.6850961538461539,0.30215831622747247,0.0,0
Mozeika,0.5,0.2985576923076923,0.1701150419434432,0.0,1
Mozeika,0.5,0.5870192307692308,0.17156497433219325,0.0,2
Mozeika,0.5,0.7850961538461538,0.27806672942809324,0.0,3
Mozeika,0.5,0.6206730769230769,0.24090723823729396,0.0,4
Mozeika,0.5,0.7548076923076923,0.3034014321172116,0.0,5
Mozeika,0.5,0.4394230769230769,0.2671122898128721,0.0,6
Mozeika,0.5,0.5403846153846154,0.22957138393286627,0.0,7
Mozeika,0.65,0.6850961538461539,0.30215831622747247,0.0,0
Mozeika,0.65,0.8120192307692308,0.29922487532601144,0.0,1
Mozeika,0.65,0.5870192307692308,0.17156497433219325,0.0,2
Mozeika,0.65,0.7850961538461538,0.27806672942809324,0.0,3
Mozeika,0.65,0.6206730769230769,0.24090723823729396,0.0,4
Mozeika,0.65,0.7548076923076923,0.3034014321172116,0.0,5
Mozeika,0.65,0.7980769230769231,0.3922975043301693,0.0,6
Mozeika,0.65,0.5403846153846154,0.22957138393286627,0.0,7
Mozeika,0.75,0.6850961538461539,0.30215831622747247,0.0,0
Mozeika,0.75,0.8120192307692308,0.29922487532601144,0.0,1
Mozeika,0.75,0.8485576923076923,0.255035090930201,0.0,2
Mozeika,0.75,0.7850961538461538,0.27806672942809324,0.0,3
Mozeika,0.75,0.7711538461538462,0.28503747705528015,0.0,4
Mozeika,0.75,0.7548076923076923,0.3034014321172116,0.0,5
Mozeika,0.75,0.7980769230769231,0.3922975043301693,0.0,6
Mozeika,0.75,0.7932692307692307,0.3265059682706425,0.0,7
Mozeika,0.85,0.8865384615384615,0.4132016283343706,0.0,0
Mozeika,0.85,0.8120192307692308,0.29922487532601144,0.0,1
Mozeika,0.85,0.8485576923076923,0.255035090930201,0.0,2
Mozeika,0.85,0.8995192307692308,0.2873219017911073,0.0,3
Mozeika,0.85,0.8908653846153847,0.3704756757429805,0.0,4
Mozeika,0.85,0.9173076923076923,0.28128445848027406,0.0,5
Mozeika,0.85,0.8975961538461539,0.3633187654928395,0.0,6
Mozeika,0.85,0.9038461538461539,0.3118086708162485,0.0,7
Mozeika,0.9,0.8985576923076923,0.4959871471238713,0.0,0
Mozeika,0.9,0.9009615384615385,0.32595592713157484,0.0,1
Mozeika,0.9,0.8995192307692308,0.23805701471564555,0.0,2
Mozeika,0.9,0.8995192307692308,0.2873219017911073,0.0,3
Mozeika,0.9,0.8908653846153847,0.3704756757429805,0.0,4
Mozeika,0.9,0.9173076923076923,0.28128445848027406,0.0,5
Mozeika,0.9,0.8975961538461539,0.3633187654928395,0.0,6
Mozeika,0.9,0.9038461538461539,0.3118086708162485,0.0,7
Magnitude,0.0,0.0,0.3066216575878796,0.0,0
Magnitude,0.0,0.0,0.1496295564036804,0.0,1
Magnitude,0.0,0.0,0.14272937431508861,0.0,2
Magnitude,0.0,0.0,0.21544598201658635,0.0,3
Magnitude,0.0,0.0,0.17828811001537748,0.0,4
Magnitude,0.0,0.0,0.2250084701765408,0.0,5
Magnitude,0.0,0.0,0.2634682649150269,0.0,6
Magnitude,0.0,0.0,0.21608178836425088,0.0,7
Magnitude,0.25,0.25,0.3262697099208425,0.0,0
Magnitude,0.25,0.25,0.15105421251431825,0.0,1
Magnitude,0.25,0.25,0.14637701494890026,0.0,2
Magnitude,0.25,0.25,0.21094866396310127,0.0,3
Magnitude,0.25,0.25,0.17813019264327948,0.0,4
Magnitude,0.25,0.25,0.22937777025228756,0.0,5
Magnitude,0.25,0.25,0.2586746692082953,0.0,6
Magnitude,0.25,0.25,0.21836680688389573,0.0,7
Magnitude,0.5,0.5,0.3066762165821242,0.0,0
Magnitude,0.5,0.5,0.17383225642564928,0.0,1
Magnitude,0.5,0.5,0.19157792631699064,0.0,2
Magnitude,0.5,0.5,0.21900604048222147,0.0,3
Magnitude,0.5,0.5,0.19728285954389124,0.0,4
Magnitude,0.5,0.5,0.23300956454422803,0.0,5
Magnitude,0.5,0.5,0.2508346594836461,0.0,6
Magnitude,0.5,0.5,0.2750918186752846,0.0,7
Magnitude,0.65,0.65,0.43097896393502516,0.0,0
Magnitude,0.65,0.65,0.363718552764736,0.0,1
Magnitude,0.65,0.65,0.38924893150400414,0.0,2
Magnitude,0.65,0.65,0.27971993814635593,0.0,3
Magnitude,0.65,0.65,0.32763434332450725,0.0,4
Magnitude,0.65,0.65,0.6800629084803937,0.0,5
Magnitude,0.65,0.65,0.34347601758419366,0.0,6
