layer,head,method,k,n_bits_per_dim,bits_per_vector,budget,K_mse_logits,K_mae_logits,K_kl_divergence,K_l1_attention,K_top1_agreement
0,0,oracle,64,4,256,2bit,6.190567376766594e-07,0.000600597557818639,3.0736351386903887e-07,0.0005979976159187369,0.6328125
0,0,transfer,64,4,256,2bit,1.2216622975107916e-06,0.0008474980635665636,5.958948404388768e-07,0.0008270181007457969,0.59375
0,0,full_dim,128,2,256,2bit,1.0871246971670738e-05,0.002423049859045101,5.314524475419619e-06,0.002464212472479361,0.556640625
0,0,oracle,64,8,512,4bit,2.6291368543720584e-07,0.00033471715375942614,1.3040009593672212e-07,0.00033257946953347336,0.6767578125
0,0,transfer,64,8,512,4bit,8.18832880076598e-07,0.0006192311222334626,4.040723406436651e-07,0.0006128767758505972,0.6435546875
0,0,full_dim,128,4,512,4bit,2.623103881122796e-07,0.0003971915907380279,1.2856186643878467e-07,0.00039653109761481227,0.705078125
0,1,oracle,64,4,256,2bit,3.4755792902217355e-07,0.00046836684424146597,1.732579259011581e-07,0.000467615503721284,0.759765625
0,1,transfer,64,4,256,2bit,4.620652453267052e-07,0.0005254523348638077,2.2826459029887826e-07,0.000522669977312824,0.6884765625
0,1,full_dim,128,2,256,2bit,3.0806209161619047e-06,0.0013895686934275082,1.5263598619700163e-06,0.0013803855985876313,0.5595703125
0,1,oracle,64,8,512,4bit,4.4298185709686337e-08,0.00014763894283123101,2.2176655207160357e-08,0.00014932227510552025,0.8154296875
0,1,transfer,64,8,512,4bit,2.0137980316590437e-07,0.00032251826836511436,9.784968454421345e-08,0.0003215759991956887,0.7470703125
0,1,full_dim,128,4,512,4bit,1.5101335320844794e-07,0.00030663723304939793,7.514220573982809e-08,0.0003057935457628153,0.8125
0,2,oracle,64,4,256,2bit,4.323088620218793e-07,0.0005042103866961777,2.146885626911837e-07,0.0005012011695614009,0.6357421875
0,2,transfer,64,4,256,2bit,5.120673454562604e-07,0.0005373173863470164,2.529394618944169e-07,0.0005330846170522304,0.7138671875
0,2,full_dim,128,2,256,2bit,7.75072068577625e-06,0.00202823277348079,3.83115577055548e-06,0.002024100215654363,0.40625
0,2,oracle,64,8,512,4bit,1.421122331636168e-07,0.0002673619199474755,7.039070107251972e-08,0.00026577997642494714,0.85546875
