model,k,k_frac,n_bits,passage_idx,ppl,mean_ppl,rel_ppl,compression_ratio
Qwen3-1.7B,,,,0,2.96875,4.59375,1.0,1.0
Qwen3-1.7B,,,,1,5.65625,4.59375,1.0,1.0
Qwen3-1.7B,,,,2,5.15625,4.59375,1.0,1.0
Qwen3-1.7B,64,0.5,4,0,34.75,54.416666666666664,11.705263157894738,5.333333333333333
Qwen3-1.7B,64,0.5,4,1,96.0,54.416666666666664,16.972375690607734,5.333333333333333
Qwen3-1.7B,64,0.5,4,2,32.5,54.416666666666664,6.303030303030303,5.333333333333333
Qwen3-1.7B,96,0.75,4,0,5.0,8.291666666666666,1.6842105263157894,4.571428571428571
Qwen3-1.7B,96,0.75,4,1,11.625,8.291666666666666,2.0552486187845305,4.571428571428571
Qwen3-1.7B,96,0.75,4,2,8.25,8.291666666666666,1.6,4.571428571428571
Qwen3-1.7B,112,0.875,4,0,3.921875,5.984375,1.3210526315789475,4.266666666666667
Qwen3-1.7B,112,0.875,4,1,7.15625,5.984375,1.2651933701657458,4.266666666666667
Qwen3-1.7B,112,0.875,4,2,6.875,5.984375,1.3333333333333333,4.266666666666667
Qwen3-1.7B,120,0.9375,4,0,3.890625,5.817708333333333,1.3105263157894738,4.129032258064516
Qwen3-1.7B,120,0.9375,4,1,7.5,5.817708333333333,1.3259668508287292,4.129032258064516
Qwen3-1.7B,120,0.9375,4,2,6.0625,5.817708333333333,1.1757575757575758,4.129032258064516
Qwen3-1.7B,128,1.0,4,0,3.484375,5.182291666666667,1.1736842105263159,4.0
Qwen3-1.7B,128,1.0,4,1,6.625,5.182291666666667,1.171270718232044,4.0
Qwen3-1.7B,128,1.0,4,2,5.4375,5.182291666666667,1.0545454545454545,4.0
Qwen3-32B-AWQ,,,,0,1.890625,2.2708333333333335,1.0,1.0
Qwen3-32B-AWQ,,,,1,2.513671875,2.2708333333333335,1.0,1.0
Qwen3-32B-AWQ,,,,2,2.408203125,2.2708333333333335,1.0,1.0
Qwen3-32B-AWQ,64,0.5,4,0,3.224609375,4.594401041666667,1.7055785123966942,5.333333333333333
Qwen3-32B-AWQ,64,0.5,4,1,6.0234375,4.594401041666667,2.3962703962703964,5.333333333333333
Qwen3-32B-AWQ,64,0.5,4,2,4.53515625,4.594401041666667,1.8832116788321167,5.333333333333333
Qwen3-32B-AWQ,96,0.75,4,0,2.15625,2.4752604166666665,1.140495867768595,4.571428571428571
Qwen3-32B-AWQ,96,0.75,4,1,2.681640625,2.4752604166666665,1.066822066822067,4.571428571428571
Qwen3-32B-AWQ,96,0.75,4,2,2.587890625,2.4752604166666665,1.0746147607461476,4.571428571428571
Qwen3-32B-AWQ,112,0.875,4,0,2.142578125,2.4134114583333335,1.1332644628099173,4.266666666666667
Qwen3-32B-AWQ,112,0.875,4,1,2.61328125,2.4134114583333335,1.0396270396270397,4.266666666666667
Qwen3-32B-AWQ,112,0.875,4,2,2.484375,2.4134114583333335,1.0316301703163018,4.266666666666667
Qwen3-32B-AWQ,120,0.9375,4,0,2.041015625,2.384765625,1.0795454545454546,4.129032258064516
Qwen3-32B-AWQ,120,0.9375,4,1,2.693359375,2.384765625,1.0714840714840714,4.129032258064516
Qwen3-32B-AWQ,120,0.9375,4,2,2.419921875,2.384765625,1.0048661800486618,4.129032258064516
Qwen3-32B-AWQ,128,1.0,4,0,2.005859375,2.357421875,1.0609504132231404,4.0
Qwen3-32B-AWQ,128,1.0,4,1,2.638671875,2.357421875,1.0497280497280497,4.0
Qwen3-32B-AWQ,128,1.0,4,2,2.427734375,2.357421875,1.008110300081103,4.0
