batch_size,operation,k,latency_us
1,plain_quantize,128,174.44905824959278
1,polarquant_128,128,244.2399854771793
1,project_quantize_k32,32,264.1649916768074
1,subspace_polar_k32,32,298.0710123665631
1,project_quantize_k64,64,265.28502348810434
1,subspace_polar_k64,64,297.1405046992004
8,plain_quantize,128,179.79397671297193
8,polarquant_128,128,257.7499835751951
8,project_quantize_k32,32,281.60051442682743
8,subspace_polar_k32,32,315.21101482212543
8,project_quantize_k64,64,280.2355447784066
8,subspace_polar_k64,64,317.91150104254484
32,plain_quantize,128,180.75795378535986
32,polarquant_128,128,258.62501934170723
32,project_quantize_k32,32,304.10103499889374
32,subspace_polar_k32,32,343.44097366556525
32,project_quantize_k64,64,287.8255327232182
32,subspace_polar_k64,64,324.6715641580522
128,plain_quantize,128,183.51798644289374
128,polarquant_128,128,278.1509538181126
128,project_quantize_k32,32,304.0110459551215
128,subspace_polar_k32,32,341.85650292783976
128,project_quantize_k64,64,287.1049800887704
128,subspace_polar_k64,64,325.85696317255497
512,plain_quantize,128,184.2840574681759
512,polarquant_128,128,263.4149859659374
512,project_quantize_k32,32,303.7810092791915
512,subspace_polar_k32,32,343.74604001641273
512,project_quantize_k64,64,287.54601953551173
512,subspace_polar_k64,64,324.31597355753183
1024,plain_quantize,128,196.64852879941463
1024,polarquant_128,128,275.1050051301718
1024,project_quantize_k32,32,304.74556842818856
1024,subspace_polar_k32,32,343.93154783174396
1024,project_quantize_k64,64,287.8804807551205
1024,subspace_polar_k64,64,325.721048284322
