rho,layer,active_fraction,Hamming
0.0,0,1.0000,0.0938
0.0,1,1.0000,0.0938
0.0,2,0.0000,0.5000
0.0005555555555555556,0,1.0000,0.0938
0.0005555555555555556,1,0.7500,0.3438
0.0005555555555555556,2,0.0000,0.5000
0.0011111111111111111,0,1.0000,0.0938
0.0011111111111111111,1,0.7500,0.3750
0.0011111111111111111,2,0.0000,0.5000
0.0016666666666666666,0,1.0000,0.1562
0.0016666666666666666,1,0.7500,0.4688
0.0016666666666666666,2,0.0000,0.5000
0.0022222222222222222,0,1.0000,0.1875
0.0022222222222222222,1,0.7500,0.4688
0.0022222222222222222,2,0.0000,0.5000
0.002777777777777778,0,0.8750,0.2188
0.002777777777777778,1,0.7500,0.4688
0.002777777777777778,2,0.0000,0.5000
0.003333333333333333,0,0.8750,0.2500
0.003333333333333333,1,0.7500,0.4688
0.003333333333333333,2,0.0000,0.5000
0.0038888888888888888,0,0.7500,0.2500
0.0038888888888888888,1,0.7500,0.4688
0.0038888888888888888,2,0.0000,0.5000
0.0044444444444444444,0,0.7500,0.3125
0.0044444444444444444,1,0.2500,0.5938
0.0044444444444444444,2,0.0000,0.5000
0.005,0,0.7500,0.3438
0.005,1,0.5000,0.5000
0.005,2,0.0000,0.5000
