round,sparsity,acc,fc1,fc2
1,0.19999999999999996,0.9814,0.2081589698791504,0.136033296585083
2,0.36,0.9812,0.37286561727523804,0.25913333892822266
3,0.48800150829562594,0.9787,0.5035416483879089,0.3661666512489319
4,0.5904034690799397,0.9807,0.6074404716491699,0.4568333029747009
5,0.6723265460030166,0.9824,0.6898681819438934,0.5347999930381775
6,0.7378619909502262,0.9842,0.7548001557588577,0.6050666570663452
7,0.7902903469079939,0.9794,0.8055612146854401,0.6705666482448578
8,0.8322322775263952,0.9804,0.8458418250083923,0.7255333364009857
9,0.865788084464555,0.9805,0.8779081553220749,0.7707666605710983
10,0.8926319758672699,0.9843,0.9032142832875252,0.8096666634082794
11,0.914106334841629,0.9842,0.9235119000077248,0.8403666615486145
12,0.9312858220211161,0.9826,0.9393494874238968,0.868066668510437
13,0.9450301659125189,0.9831,0.951764453202486,0.8922333344817162
14,0.956025641025641,0.9824,0.9617984667420387,0.9107666686177254
15,0.9648227752639518,0.9812,0.9697746597230434,0.9259999990463257
16,0.9718589743589744,0.9811,0.9762542508542538,0.9373999983072281
17,0.9774886877828054,0.9801,0.9812882654368877,0.947699997574091
18,0.9819909502262444,0.9791,0.9852678570896387,0.9562999978661537
19,0.9855957767722474,0.9793,0.9883460877463222,0.9640333317220211
20,0.9884803921568628,0.9782,0.990799318999052,0.9703000001609325
21,0.99,0.977,0.9921130947768688,0.9734333325177431
