round,sparsity,acc,fc1,fc2
1,0.19999999999999996,0.9817,0.2081589698791504,0.136033296585083
2,0.36,0.9796,0.37343108654022217,0.2547000050544739
3,0.48800150829562594,0.9844,0.5035544037818909,0.3660666346549988
4,0.5904034690799397,0.9825,0.6061096787452698,0.46726667881011963
5,0.6723265460030166,0.9836,0.6873596906661987,0.5544666647911072
6,0.7378619909502262,0.9833,0.7520833313465118,0.6263666749000549
7,0.7902903469079939,0.9854,0.8036309480667114,0.685699999332428
8,0.8322322775263952,0.9846,0.8442602008581161,0.737933337688446
9,0.865788084464555,0.9836,0.8763988018035889,0.782600000500679
10,0.8926319758672699,0.9835,0.9018239751458168,0.8205666691064835
11,0.914106334841629,0.9835,0.9218579903244972,0.8533333390951157
12,0.9312858220211161,0.9819,0.9380442164838314,0.8782999962568283
13,0.9450301659125189,0.9828,0.9508971087634563,0.8990333303809166
14,0.956025641025641,0.9808,0.9611437059938908,0.9158999994397163
15,0.9648227752639518,0.9802,0.9693239778280258,0.9295333325862885
16,0.9718589743589744,0.9799,0.9756717681884766,0.9419666677713394
17,0.9774886877828054,0.9792,0.9807482995092869,0.9519333317875862
18,0.9819909502262444,0.9768,0.9848044216632843,0.9599333330988884
19,0.9855957767722474,0.977,0.987967686727643,0.9670000001788139
20,0.9884803921568628,0.9742,0.9904591832309961,0.9729666672646999
21,0.99,0.9742,0.9917729590088129,0.9760999996215105
