policy,passage_idx,ppl,mean_ppl,rel_ppl,compression_ratio
baseline,0,2.0859375,2.5826822916666665,1.0,1.0
baseline,1,2.93359375,2.5826822916666665,1.0,1.0
baseline,2,2.728515625,2.5826822916666665,1.0,1.0
uniform_k64_4bit,0,4.8203125,7.776041666666667,2.310861423220974,1.7777777777777777
uniform_k64_4bit,1,10.625,7.776041666666667,3.621837549933422,1.7777777777777777
uniform_k64_4bit,2,7.8828125,7.776041666666667,2.8890479599141017,1.7777777777777777
uniform_kv_optimal,0,4.92578125,8.248697916666666,2.3614232209737827,5.333333333333333
uniform_kv_optimal,1,11.4453125,8.248697916666666,3.9014647137150464,5.333333333333333
uniform_kv_optimal,2,8.375,8.248697916666666,3.0694345025053686,5.333333333333333
protect_early_10,0,4.4296875,7.0078125,2.1235955056179776,2.56
protect_early_10,1,9.828125,7.0078125,3.3501997336884153,2.56
protect_early_10,2,6.765625,7.0078125,2.4795991410164637,2.56
protect_early_20,0,2.859375,4.52734375,1.3707865168539326,1.6842105263157894
protect_early_20,1,6.42578125,4.52734375,2.1904127829560585,1.6842105263157894
protect_early_20,2,4.296875,4.52734375,1.5748031496062993,1.6842105263157894
graduated,0,5.05859375,8.696614583333334,2.4250936329588013,2.098360655737705
graduated,1,13.1953125,8.696614583333334,4.498002663115845,2.098360655737705
graduated,2,7.8359375,8.696614583333334,2.871868289191124,2.098360655737705
k_only_all,0,4.8203125,7.776041666666667,2.310861423220974,1.7777777777777777
k_only_all,1,10.625,7.776041666666667,3.621837549933422,1.7777777777777777
k_only_all,2,7.8828125,7.776041666666667,2.8890479599141017,1.7777777777777777
