config,passage_idx,ppl,relative_ppl
baseline,0,2.0859375,1.0
baseline,1,2.93359375,1.0
baseline,2,2.728515625,1.0
K_sub_k64_4bit,0,4.8203125,2.310861423220974
K_sub_k64_4bit,1,10.625,3.621837549933422
K_sub_k64_4bit,2,7.8828125,2.8890479599141017
KV_optimal,0,4.92578125,2.3614232209737827
KV_optimal,1,11.4453125,3.9014647137150464
KV_optimal,2,8.375,3.0694345025053686
KV_aggressive,0,27.5,13.183520599250937
KV_aggressive,1,113.8125,38.79627163781625
KV_aggressive,2,39.78125,14.579813886900501
