rho,seed,effective_rank,spectral_entropy,loss
0,0,4.187730,1.587605,0.000017
0,1,4.187730,1.587605,0.000022
0,2,4.187730,1.587605,0.000018
0,3,4.187730,1.587605,0.000019
0,4,4.187730,1.587605,0.000024
0.0003,0,4.644572,1.601819,0.000000
0.0003,1,4.644572,1.601819,0.000001
0.0003,2,4.644572,1.601819,0.000001
0.0003,3,4.644572,1.601819,0.000001
0.0003,4,4.644572,1.601819,0.000001
0.0005,0,4.644572,1.601819,0.000000
0.0005,1,4.644572,1.601819,0.000001
0.0005,2,4.644572,1.601819,0.000001
0.0005,3,4.644572,1.601819,0.000001
0.0005,4,4.644572,1.601819,0.000001
0.001,0,4.644572,1.601819,0.000000
0.001,1,4.644572,1.601819,0.000001
0.001,2,4.644572,1.601819,0.000001
0.001,3,4.644572,1.601819,0.000001
0.001,4,4.644572,1.601819,0.000001
