rho,seed1,seed2,principal_angle_deg
0,0,1,40.214759
0,0,1,68.308417
0,0,1,79.203872
0,0,1,81.923706
0,0,1,87.916003
0,0,2,0.000000
0,0,2,67.523967
0,0,2,78.240176
0,0,2,83.119103
0,0,2,87.775294
0,0,3,23.718181
0,0,3,63.639356
0,0,3,78.129360
0,0,3,82.747353
0,0,3,88.801381
0,0,4,11.293563
0,0,4,59.983292
0,0,4,74.110023
0,0,4,83.631542
0,0,4,85.662370
0,1,2,0.000000
0,1,2,62.997834
0,1,2,73.889424
0,1,2,84.225614
0,1,2,88.397444
0,1,3,12.461190
0,1,3,63.770556
0,1,3,67.086642
0,1,3,85.066278
0,1,3,85.461163
0,1,4,21.602122
0,1,4,63.219077
0,1,4,73.468439
0,1,4,76.096866
0,1,4,88.901282
0,2,3,43.828907
0,2,3,64.793986
0,2,3,78.064586
0,2,3,86.230256
0,2,3,87.561280
0,2,4,23.914442
0,2,4,76.640082
0,2,4,78.168034
0,2,4,81.191719
0,2,4,86.068338
0,3,4,10.257996
0,3,4,62.282852
0,3,4,73.418266
0,3,4,82.579881
0,3,4,89.782160
0.0003,0,1,0.000000
0.0003,0,1,71.606207
0.0003,0,1,73.935417
0.0003,0,1,83.416813
0.0003,0,1,88.307680
0.0003,0,2,0.000000
0.0003,0,2,70.164627
0.0003,0,2,75.755594
0.0003,0,2,83.168589
0.0003,0,2,88.928724
0.0003,0,3,39.525371
0.0003,0,3,62.314154
0.0003,0,3,71.409001
0.0003,0,3,80.030699
0.0003,0,3,82.450265
0.0003,0,4,0.000000
0.0003,0,4,70.295040
0.0003,0,4,73.820363
0.0003,0,4,77.766110
0.0003,0,4,89.963945
0.0003,1,2,19.391765
0.0003,1,2,60.105968
0.0003,1,2,65.637564
0.0003,1,2,84.264850
0.0003,1,2,86.310780
0.0003,1,3,0.000000
0.0003,1,3,68.589680
0.0003,1,3,74.390623
0.0003,1,3,80.600749
0.0003,1,3,88.120364
0.0003,1,4,0.000000
0.0003,1,4,67.438156
0.0003,1,4,81.020519
0.0003,1,4,87.310390
0.0003,1,4,88.201431
0.0003,2,3,35.636225
0.0003,2,3,65.388555
0.0003,2,3,78.519973
0.0003,2,3,85.700510
0.0003,2,3,89.730739
0.0003,2,4,0.000000
0.0003,2,4,56.545969
0.0003,2,4,65.454923
0.0003,2,4,75.773167
0.0003,2,4,87.880428
0.0003,3,4,0.000000
0.0003,3,4,62.833615
0.0003,3,4,70.770113
0.0003,3,4,82.115377
0.0003,3,4,88.878324
0.0005,0,1,0.000000
0.0005,0,1,71.606207
0.0005,0,1,73.935417
0.0005,0,1,83.416813
0.0005,0,1,88.307680
0.0005,0,2,0.000000
0.0005,0,2,70.164627
0.0005,0,2,75.755594
0.0005,0,2,83.168589
0.0005,0,2,88.928724
0.0005,0,3,39.525371
0.0005,0,3,62.314154
0.0005,0,3,71.409001
0.0005,0,3,80.030699
0.0005,0,3,82.450265
0.0005,0,4,0.000000
0.0005,0,4,70.295040
0.0005,0,4,73.820363
0.0005,0,4,77.766110
0.0005,0,4,89.963945
0.0005,1,2,19.391765
0.0005,1,2,60.105968
0.0005,1,2,65.637564
0.0005,1,2,84.264850
0.0005,1,2,86.310780
0.0005,1,3,0.000000
0.0005,1,3,68.589680
0.0005,1,3,74.390623
0.0005,1,3,80.600749
0.0005,1,3,88.120364
0.0005,1,4,0.000000
0.0005,1,4,67.438156
0.0005,1,4,81.020519
0.0005,1,4,87.310390
0.0005,1,4,88.201431
0.0005,2,3,35.636225
0.0005,2,3,65.388555
0.0005,2,3,78.519973
0.0005,2,3,85.700510
0.0005,2,3,89.730739
0.0005,2,4,0.000000
0.0005,2,4,56.545969
0.0005,2,4,65.454923
0.0005,2,4,75.773167
0.0005,2,4,87.880428
0.0005,3,4,0.000000
0.0005,3,4,62.833615
0.0005,3,4,70.770113
0.0005,3,4,82.115377
0.0005,3,4,88.878324
0.001,0,1,0.000000
0.001,0,1,71.606207
0.001,0,1,73.935417
0.001,0,1,83.416813
0.001,0,1,88.307680
0.001,0,2,0.000000
0.001,0,2,70.164627
0.001,0,2,75.755594
0.001,0,2,83.168589
0.001,0,2,88.928724
0.001,0,3,39.525371
0.001,0,3,62.314154
0.001,0,3,71.409001
0.001,0,3,80.030699
0.001,0,3,82.450265
0.001,0,4,0.000000
0.001,0,4,70.295040
0.001,0,4,73.820363
0.001,0,4,77.766110
0.001,0,4,89.963945
0.001,1,2,19.391765
0.001,1,2,60.105968
0.001,1,2,65.637564
0.001,1,2,84.264850
0.001,1,2,86.310780
0.001,1,3,0.000000
0.001,1,3,68.589680
0.001,1,3,74.390623
0.001,1,3,80.600749
0.001,1,3,88.120364
0.001,1,4,0.000000
0.001,1,4,67.438156
0.001,1,4,81.020519
0.001,1,4,87.310390
0.001,1,4,88.201431
0.001,2,3,35.636225
0.001,2,3,65.388555
0.001,2,3,78.519973
0.001,2,3,85.700510
0.001,2,3,89.730739
0.001,2,4,0.000000
0.001,2,4,56.545969
0.001,2,4,65.454923
0.001,2,4,75.773167
0.001,2,4,87.880428
0.001,3,4,0.000000
0.001,3,4,62.833615
0.001,3,4,70.770113
0.001,3,4,82.115377
0.001,3,4,88.878324
