rho,seed,hamming,active_frac,n_iters
1e-06,0,0.5088,1.0,0
1e-06,1,0.5032,0.0158,1
1e-06,2,0.4838,0.019,1
2.6826957952797274e-06,0,0.5088,1.0,0
2.6826957952797274e-06,1,0.5032,0.0022,1
2.6826957952797274e-06,2,0.4838,0.003,1
7.196856730011514e-06,0,0.5088,1.0,0
7.196856730011514e-06,1,0.5034,0.0,1
7.196856730011514e-06,2,0.484,0.0,1
1.9306977288832496e-05,0,0.5088,1.0,0
1.9306977288832496e-05,1,0.5034,0.0,1
1.9306977288832496e-05,2,0.484,0.0,1
5.1794746792312125e-05,0,0.5088,1.0,0
5.1794746792312125e-05,1,0.5034,0.0,1
5.1794746792312125e-05,2,0.484,0.0,1
0.00013894954943731373,0,0.5088,1.0,0
0.00013894954943731373,1,0.5034,0.0,1
0.00013894954943731373,2,0.484,0.0,1
0.0003727593720314938,0,0.5088,1.0,0
0.0003727593720314938,1,0.5034,0.0,1
0.0003727593720314938,2,0.484,0.0,1
0.001,0,0.5088,1.0,0
0.001,1,0.5034,0.0,1
0.001,2,0.484,0.0,1
0.0026826957952797246,0,0.5088,1.0,0
0.0026826957952797246,1,0.5034,0.0,1
0.0026826957952797246,2,0.484,0.0,1
0.007196856730011514,0,0.5088,1.0,0
0.007196856730011514,1,0.5034,0.0,1
0.007196856730011514,2,0.484,0.0,1
0.019306977288832496,0,0.5088,1.0,0
0.019306977288832496,1,0.5034,0.0,1
0.019306977288832496,2,0.484,0.0,1
0.05179474679231213,0,0.5088,1.0,0
0.05179474679231213,1,0.5034,0.0,1
0.05179474679231213,2,0.484,0.0,1
0.1389495494373136,0,0.5088,1.0,0
0.1389495494373136,1,0.5034,0.0,1
0.1389495494373136,2,0.484,0.0,1
0.3727593720314938,0,0.5088,1.0,0
0.3727593720314938,1,0.5034,0.0,1
0.3727593720314938,2,0.484,0.0,1
1.0,0,0.5088,1.0,0
1.0,1,0.5034,0.0,1
1.0,2,0.484,0.0,1
