rho,seed,hamming_perm,hamming_raw,active_frac,teacher_active_frac,test_mse,total_pruned,rounds
0.0,0,0.5103125,0.5103125,1.0,0.4896875023841858,3.00854754447937,0,1
0.0,1,0.508125,0.508125,1.0,0.4918749928474426,1.9168559312820435,0,1
0.0,2,0.5,0.5,1.0,0.5,2.6350340843200684,0,1
0.0,3,0.5065625,0.5065625,1.0,0.4934374988079071,2.6580913066864014,0,1
0.0,4,0.49375,0.49375,1.0,0.5062500238418579,4.594409465789795,0,1
1e-07,0,0.5028125,0.4971875,0.5487499833106995,0.4896875023841858,1.9139530658721924,1444,40
1e-07,1,0.48875,0.49875,0.5643749833106995,0.4918749928474426,1.1486725807189941,1394,40
1e-07,2,0.4871875,0.5015625,0.5821874737739563,0.5,1.64954674243927,1337,40
1e-07,3,0.4975,0.491875,0.551562488079071,0.4934374988079071,1.8440114259719849,1435,40
1e-07,4,0.4884375,0.5109375,0.6059374809265137,0.5062500238418579,2.4887630939483643,1261,40
3e-07,0,0.5071875,0.4896875,0.46875,0.4896875023841858,2.061187982559204,1700,40
3e-07,1,0.4803125,0.4990625,0.48343750834465027,0.4918749928474426,1.1919310092926025,1653,40
3e-07,2,0.511875,0.493125,0.49125000834465027,0.5,1.5138351917266846,1628,40
3e-07,3,0.496875,0.481875,0.45531249046325684,0.4934374988079071,1.9072484970092773,1743,40
3e-07,4,0.4825,0.5075,0.5418750047683716,0.5062500238418579,2.4761312007904053,1466,40
1e-06,0,0.506875,0.49375,0.36406248807907104,0.4896875023841858,2.0998904705047607,2035,37
1e-06,1,0.49375,0.506875,0.3968749940395355,0.4918749928474426,1.3476052284240723,1930,40
1e-06,2,0.4909375,0.4915625,0.3959375023841858,0.5,1.6766093969345093,1933,40
1e-06,3,0.5009375,0.4846875,0.35624998807907104,0.4934374988079071,1.898003339767456,2060,40
1e-06,4,0.4996875,0.5096875,0.44343748688697815,0.5062500238418579,2.5261731147766113,1781,40
3e-06,0,0.50375,0.49125,0.2721875011920929,0.4896875023841858,2.1134426593780518,2329,40
3e-06,1,0.4921875,0.5146875,0.2878125011920929,0.4918749928474426,1.4745876789093018,2279,30
3e-06,2,0.504375,0.493125,0.30125001072883606,0.5,1.7442817687988281,2236,40
3e-06,3,0.4971875,0.4909375,0.23125000298023224,0.4934374988079071,1.9456799030303955,2460,35
3e-06,4,0.495,0.506875,0.3531250059604645,0.5062500238418579,2.876837968826294,2070,40
1e-05,0,0.4871875,0.4871875,0.16187499463558197,0.4896875023841858,2.761488437652588,2682,27
1e-05,1,0.4896875,0.5040625,0.17218750715255737,0.4918749928474426,1.7168184518814087,2649,32
1e-05,2,0.49625,0.48625,0.1862500011920929,0.5,1.8306167125701904,2604,40
1e-05,3,0.486875,0.48375,0.12781250476837158,0.4934374988079071,2.2452495098114014,2791,35
1e-05,4,0.4790625,0.5071875,0.24656249582767487,0.5062500238418579,3.2384281158447266,2411,40
3e-05,0,0.49625,0.486875,0.07406249642372131,0.4896875023841858,3.2343757152557373,2963,22
3e-05,1,0.4925,0.491875,0.07124999910593033,0.4918749928474426,2.5659823417663574,2972,16
3e-05,2,0.483125,0.49875,0.10499999672174454,0.5,2.4413890838623047,2864,24
3e-05,3,0.4871875,0.4871875,0.051874998956918716,0.4934374988079071,2.8959267139434814,3034,11
3e-05,4,0.49875,0.511875,0.140625,0.5062500238418579,4.002117156982422,2750,31
0.0001,0,0.4959375,0.4909375,0.02500000037252903,0.4896875023841858,5.266467571258545,3120,7
0.0001,1,0.4921875,0.4909375,0.004062499850988388,0.4918749928474426,7.235235214233398,3187,3
0.0001,2,0.49875,0.500625,0.026875000447034836,0.5,5.592123031616211,3114,4
0.0001,3,0.48875,0.49,0.01406249962747097,0.4934374988079071,4.35245418548584,3155,5
0.0001,4,0.495625,0.505,0.054375000298023224,0.5062500238418579,5.3117899894714355,3026,15
0.0003,0,0.4871875,0.4921875,0.010625000111758709,0.4896875023841858,9.241312026977539,3166,2
0.0003,1,0.491875,0.491875,0.0,0.4918749928474426,9.020297050476074,3200,2
0.0003,2,0.4996875,0.4996875,0.0009374999790452421,0.5,11.470168113708496,3197,2
0.0003,3,0.4896875,0.4896875,0.007499999832361937,0.4934374988079071,6.942543983459473,3176,2
0.0003,4,0.506875,0.506875,0.015625,0.5062500238418579,8.843353271484375,3150,4
0.001,0,0.4884375,0.4896875,0.0012499999720603228,0.4896875023841858,12.075666427612305,3196,2
0.001,1,0.491875,0.491875,0.0,0.4918749928474426,9.020297050476074,3200,2
