layer_a,layer_b,head_a,head_b,kv_type,metric_type,k_a,k_b,subspace_overlap
0,1,-1,-1,K,cross_layer,14,18,0.2644803822040558
1,2,-1,-1,K,cross_layer,18,23,0.339852899312973
2,3,-1,-1,K,cross_layer,23,32,0.35968783497810364
3,4,-1,-1,K,cross_layer,32,27,0.39290669560432434
4,5,-1,-1,K,cross_layer,27,24,0.36114373803138733
5,6,-1,-1,K,cross_layer,24,28,0.3829033374786377
6,7,-1,-1,K,cross_layer,28,34,0.4186010956764221
7,8,-1,-1,K,cross_layer,34,26,0.3955291509628296
8,9,-1,-1,K,cross_layer,26,38,0.43399718403816223
9,10,-1,-1,K,cross_layer,38,34,0.46180006861686707
10,11,-1,-1,K,cross_layer,34,38,0.4759276807308197
11,12,-1,-1,K,cross_layer,38,47,0.5056833028793335
12,13,-1,-1,K,cross_layer,47,43,0.5660952925682068
13,14,-1,-1,K,cross_layer,43,33,0.4815681576728821
14,15,-1,-1,K,cross_layer,33,42,0.4838361144065857
15,16,-1,-1,K,cross_layer,42,37,0.5360596776008606
16,17,-1,-1,K,cross_layer,37,40,0.5591863393783569
17,18,-1,-1,K,cross_layer,40,46,0.6143301725387573
18,19,-1,-1,K,cross_layer,46,43,0.6486859321594238
19,20,-1,-1,K,cross_layer,43,38,0.6529492735862732
20,21,-1,-1,K,cross_layer,38,41,0.662336528301239
21,22,-1,-1,K,cross_layer,41,37,0.6713624000549316
22,23,-1,-1,K,cross_layer,37,42,0.6585098505020142
23,24,-1,-1,K,cross_layer,42,41,0.714926540851593
24,25,-1,-1,K,cross_layer,41,43,0.723637044429779
25,26,-1,-1,K,cross_layer,43,43,0.7019035220146179
26,27,-1,-1,K,cross_layer,43,36,0.6514220237731934
27,28,-1,-1,K,cross_layer,36,44,0.6931231617927551
28,29,-1,-1,K,cross_layer,44,47,0.7093797326087952
29,30,-1,-1,K,cross_layer,47,44,0.6619806885719299
30,31,-1,-1,K,cross_layer,44,45,0.6640720367431641
31,32,-1,-1,K,cross_layer,45,43,0.6494513154029846
32,33,-1,-1,K,cross_layer,43,50,0.630466103553772
33,34,-1,-1,K,cross_layer,50,50,0.7012960910797119
34,35,-1,-1,K,cross_layer,50,52,0.7014507055282593
35,36,-1,-1,K,cross_layer,52,47,0.6627758145332336
36,37,-1,-1,K,cross_layer,47,50,0.6119927167892456
37,38,-1,-1,K,cross_layer,50,48,0.6307222843170166
38,39,-1,-1,K,cross_layer,48,41,0.5934310555458069
0,1,-1,-1,V,cross_layer,64,64,0.6273728609085083
1,2,-1,-1,V,cross_layer,64,75,0.6420536637306213
2,3,-1,-1,V,cross_layer,75,74,0.6884485483169556
3,4,-1,-1,V,cross_layer,74,74,0.6979174017906189
4,5,-1,-1,V,cross_layer,74,71,0.6676585078239441
5,6,-1,-1,V,cross_layer,71,76,0.674051821231842
6,7,-1,-1,V,cross_layer,76,80,0.7033416628837585
7,8,-1,-1,V,cross_layer,80,78,0.7229825258255005
8,9,-1,-1,V,cross_layer,78,75,0.6999337673187256
9,10,-1,-1,V,cross_layer,75,82,0.6971619725227356
10,11,-1,-1,V,cross_layer,82,88,0.7354727983474731
11,12,-1,-1,V,cross_layer,88,83,0.7388282418251038
12,13,-1,-1,V,cross_layer,83,86,0.7379684448242188
13,14,-1,-1,V,cross_layer,86,78,0.7136092782020569
14,15,-1,-1,V,cross_layer,78,78,0.7125755548477173
15,16,-1,-1,V,cross_layer,78,82,0.7062670588493347
