layer,head,kv_type,method,k,n_bits,bits_per_vector,eff_rank_V_90,eff_rank_K_90,V_mse_logits,V_mae_logits,V_kl_divergence,V_l1_attention,V_top1_agreement
0,0,V,full_dim,128,2,256,26.0,14.0,3.4231955090034866e-06,0.0014251795082374983,1.7052907197519714e-06,0.0014233461360399703,0.43359375
0,0,V,subspace_k16,16,16,256,26.0,14.0,1.91657919999427e-06,0.0010604987773204138,9.469057738669478e-07,0.0010540577461650349,0.4921875
0,0,V,subspace_k32,32,8,256,26.0,14.0,1.1140489156684063e-06,0.0008139131251682626,5.534330038618395e-07,0.0008107831058837291,0.578125
0,0,V,subspace_k48,48,5,240,26.0,14.0,7.494622260998124e-07,0.0006683882378962716,3.7227645973326897e-07,0.0006664550837021141,0.62890625
0,0,V,subspace_k64,64,4,256,26.0,14.0,6.267926507735254e-07,0.000607243594230226,3.1006264944641663e-07,0.0006042457399609195,0.72265625
0,0,V,full_dim,128,4,512,26.0,14.0,1.1382541064493118e-07,0.00025947829524603264,5.6812013222371454e-08,0.0002592472831382539,0.84375
0,0,V,subspace_k16,16,32,512,26.0,14.0,0.0001208573813591256,0.008649258568640869,1.6711680527484103e-05,0.004426307420078218,0.0
0,0,V,subspace_k32,32,16,512,26.0,14.0,1.1125591371674974e-06,0.0008133787995057457,5.527018843451207e-07,0.0008102634967202564,0.578125
0,0,V,subspace_k48,48,11,528,26.0,14.0,7.138964158395133e-07,0.0006511011804628355,3.544251668622257e-07,0.000648912908592536,0.640625
0,0,V,subspace_k64,64,8,512,26.0,14.0,4.894712133241438e-07,0.0005376680098760065,2.427192685789604e-07,0.0005351412696324723,0.74609375
0,0,V,full_dim,128,8,1024,26.0,14.0,4.139940237465941e-10,1.5592668881808152e-05,2.0630548652273371e-10,1.5561044907391474e-05,0.98046875
0,0,V,subspace_k16,16,64,1024,26.0,14.0,0.00017744707378079385,0.010840456107216439,5.927744599885709e-06,0.002572419995588503,0.0
0,0,V,subspace_k32,32,32,1024,26.0,14.0,5.943802374553e-05,0.006030646391839456,1.8379164242961836e-05,0.004651264315888662,0.0
0,0,V,subspace_k48,48,21,1008,26.0,14.0,7.13930960566748e-07,0.0006511146015660929,3.5444642590753365e-07,0.0006489260716761216,0.640625
0,0,V,subspace_k64,64,16,1024,26.0,14.0,4.889082587148831e-07,0.0005373862835356387,2.4249687714168194e-07,0.0005349067064551003,0.75
0,1,V,full_dim,128,2,256,24.0,8.0,8.412642646596259e-06,0.002238135672958117,4.1836048133441e-06,0.002231446972483158,0.33203125
0,1,V,subspace_k16,16,16,256,24.0,8.0,3.788002346719151e-06,0.0015077071361221978,1.884427793461924e-06,0.001503546278076587,0.30078125
0,1,V,subspace_k32,32,8,256,24.0,8.0,2.5597100366398663e-06,0.0012290144745362788,1.273811563193196e-06,0.0012257315324644656,0.4375
0,1,V,subspace_k48,48,5,240,24.0,8.0,1.7057250882640587e-06,0.0010018165867239654,8.485433395493042e-07,0.0009993494236431016,0.49609375
0,1,V,subspace_k64,64,4,256,24.0,8.0,1.2752712115886707e-06,0.0008699709865520705,6.328355972623576e-07,0.0008666280027157211,0.5703125
0,1,V,full_dim,128,4,512,24.0,8.0,3.237161428441613e-07,0.0004369701845052408,1.6112748149792258e-07,0.00043555982103959636,0.765625
0,1,V,subspace_k16,16,32,512,24.0,8.0,8.696730803199734e-05,0.007353291342310579,2.700470407566431e-05,0.00578797845465028,0.0
0,1,V,subspace_k32,32,16,512,24.0,8.0,2.5598841532958274e-06,0.0012292560441680056,1.2737257367505779e-06,0.0012258874126720347,0.43359375
0,1,V,subspace_k48,48,11,528,24.0,8.0,1.645629808904742e-06,0.000986714455785651,8.186161348756319e-07,0.0009843318370931918,0.48046875
0,1,V,subspace_k64,64,8,512,24.0,8.0,1.059525290926615e-06,0.0007890914172708818,5.256285309566914e-07,0.0007860271089303551,0.5546875
0,1,V,full_dim,128,8,1024,24.0,8.0,1.135976474444217e-09,2.5881141405532847e-05,5.665948349079476e-10,2.585392887834051e-05,0.97265625
0,1,V,subspace_k16,16,64,1024,24.0,8.0,8.775644008027766e-05,0.0074415577677516016,9.558157579228104e-06,0.003359029607616273,0.0
0,1,V,subspace_k32,32,32,1024,24.0,8.0,0.00019247495515981218,0.010819155702763943,3.064291374927203e-05,0.006148891292454621,0.0
0,1,V,subspace_k48,48,21,1008,24.0,8.0,1.6452250784930929e-06,0.0009865825378942523,8.184094749688008e-07,0.0009841856715143834,0.48828125
0,1,V,subspace_k64,64,16,1024,24.0,8.0,1.0585945401095912e-06,0.0007885762662002977,5.250402136236205e-07,0.0007854164958564758,0.5625
0,2,V,full_dim,128,2,256,32.0,7.0,8.29703384962599e-06,0.0022388240701609616,4.119250428915976e-06,0.002231809567374712,0.34765625
0,2,V,subspace_k16,16,16,256,32.0,7.0,6.288409693495566e-06,0.001932635902957846,3.112364334380873e-06,0.0019229407069638175,0.390625
0,2,V,subspace_k32,32,8,256,32.0,7.0,3.6508692148887955e-06,0.0014780996734613668,1.8106049598002216e-06,0.001472965028000491,0.54296875
0,2,V,subspace_k48,48,5,240,32.0,7.0,2.277532132988632e-06,0.0011720059576727122,1.1230592689306863e-06,0.0011640807115585686,0.6328125
0,2,V,subspace_k64,64,4,256,32.0,7.0,1.6219928695735944e-06,0.0009869547288160042,8.05963314501744e-07,0.0009839269936467278,0.6796875
0,2,V,full_dim,128,4,512,32.0,7.0,3.329849712838554e-07,0.00044815290579846195,1.6474553739645335e-07,0.00044602023411755053,0.83203125
0,2,V,subspace_k16,16,32,512,32.0,7.0,0.00012418616456685394,0.00874709501989671,4.862690098953373e-05,0.0077215821412108775,0.0
0,2,V,subspace_k32,32,16,512,32.0,7.0,3.6514433535386625e-06,0.0014778834296380284,1.8105943308687592e-06,0.0014726322209256961,0.546875
0,2,V,subspace_k48,48,11,528,32.0,7.0,2.184293974137142e-06,0.0011469799821809293,1.0792574489959e-06,0.001140093754741069,0.62890625
0,2,V,subspace_k64,64,8,512,32.0,7.0,1.3813872291341638e-06,0.0009084986758967502,6.8459813600609e-07,0.0009041098947452067,0.70703125
0,2,V,full_dim,128,8,1024,32.0,7.0,1.1591897827942962e-09,2.6454146337242977e-05,5.770764296023126e-10,2.640077846572794e-05,0.9921875
0,2,V,subspace_k16,16,64,1024,32.0,7.0,9.84740338624048e-05,0.007831122704547007,1.5348151126650225e-05,0.004251108671540616,0.0
0,2,V,subspace_k32,32,32,1024,32.0,7.0,0.00015058834933880905,0.009405345640433608,4.4107216402611586e-05,0.007319115567296266,0.0
0,2,V,subspace_k48,48,21,1008,32.0,7.0,2.184152005140583e-06,0.0011469669857883569,1.0792114176468767e-06,0.001140095270320511,0.62890625
0,2,V,subspace_k64,64,16,1024,32.0,7.0,1.3773011860289908e-06,0.0009072911284564334,6.825876239187766e-07,0.0009028922876198108,0.69921875
0,3,V,full_dim,128,2,256,21.0,14.0,1.322898267186136e-05,0.0027901224659302526,6.595164635148708e-06,0.0027856993600213075,0.3828125
0,3,V,subspace_k16,16,16,256,21.0,14.0,5.635608259254574e-06,0.0018346585350248377,2.8055175529129484e-06,0.0018295549803464203,0.49609375
0,3,V,subspace_k32,32,8,256,21.0,14.0,3.584889778579333e-06,0.0014466791235485735,1.7802161374973173e-06,0.0014404500344379232,0.57421875
0,3,V,subspace_k48,48,5,240,21.0,14.0,2.0777789976618912e-06,0.0011022653792903203,1.0292133034077175e-06,0.001095717464189156,0.640625
0,3,V,subspace_k64,64,4,256,21.0,14.0,1.7804796239116523e-06,0.0010172232182945266,8.856277798694093e-07,0.0010146765241097607,0.71875
0,3,V,full_dim,128,4,512,21.0,14.0,5.289449104388141e-07,0.0005566520213538314,2.636769055183228e-07,0.0005556758300264576,0.78125
0,3,V,subspace_k16,16,32,512,21.0,14.0,0.0002415020152332141,0.011852703297962744,9.992826680219666e-05,0.010760369791144062,0.0
0,3,V,subspace_k32,32,16,512,21.0,14.0,3.58825483014679e-06,0.0014472027661011607,1.7819981818788828e-06,0.0014411123347983675,0.57421875
