/home/petty/torch-env/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Device: cuda
Loading checkpoint: vgg16_pruned_and_compressed_v4_99pct.pt
Sparsity: 0.9919  active=1,085,377 / 134,289,088
Baseline | test loss=0.4266 | test acc=0.8572
Epoch   1/100 | lr=1.00e-04 | test loss=0.3960 | test acc=0.8656 ← best
Epoch   2/100 | lr=9.99e-05 | test loss=0.3901 | test acc=0.8673 ← best
Epoch   3/100 | lr=9.98e-05 | test loss=0.3791 | test acc=0.8704 ← best
Epoch   4/100 | lr=9.96e-05 | test loss=0.3699 | test acc=0.8733 ← best
Epoch   5/100 | lr=9.94e-05 | test loss=0.3863 | test acc=0.8669
Epoch   6/100 | lr=9.92e-05 | test loss=0.3578 | test acc=0.8786 ← best
Epoch   7/100 | lr=9.89e-05 | test loss=0.3661 | test acc=0.8779
Epoch   8/100 | lr=9.86e-05 | test loss=0.3480 | test acc=0.8840 ← best
Epoch   9/100 | lr=9.82e-05 | test loss=0.3697 | test acc=0.8758
Epoch  10/100 | lr=9.78e-05 | test loss=0.3450 | test acc=0.8831
Epoch  11/100 | lr=9.73e-05 | test loss=0.3428 | test acc=0.8834
Epoch  12/100 | lr=9.68e-05 | test loss=0.3396 | test acc=0.8857 ← best
Epoch  13/100 | lr=9.63e-05 | test loss=0.3331 | test acc=0.8864 ← best
Epoch  14/100 | lr=9.57e-05 | test loss=0.3302 | test acc=0.8889 ← best
Epoch  15/100 | lr=9.51e-05 | test loss=0.3470 | test acc=0.8837
Epoch  16/100 | lr=9.44e-05 | test loss=0.3304 | test acc=0.8901 ← best
Epoch  17/100 | lr=9.37e-05 | test loss=0.3288 | test acc=0.8874
Epoch  18/100 | lr=9.30e-05 | test loss=0.3242 | test acc=0.8910 ← best
Epoch  19/100 | lr=9.22e-05 | test loss=0.3331 | test acc=0.8875
Epoch  20/100 | lr=9.14e-05 | test loss=0.3438 | test acc=0.8858
